Tweets,HS
التليفزيون المشكله اني محاولتش اغير القناه لحسن الاقي فيلم ارخم اصلا,0
الاسرئليين خلو البطاطس المحمره تقرمش قول بقي انك مصدق معادي للساميه عنصري ارهابي نازي ابن الكلب,1
مابدهاش تزبط زلمه عبد عزمي بشكاره ونظام الحمدين الامارات والسعوديه ضدكم اهل الفتنه والدمار والتشرد الله الاخونجيه يغردون ريموت كنترول عزمي بشكاره,1
خبر عاجل مبروك اهل الكويت خبر مؤكد شاء الله بكره دوااااااااااااااااام فرش اسنانك ونام مبجر,0
اقول انقلع ولاتفكر وجع,0
رجعووووووووه انتم تلعبون بالنعمه ايترك دياز بهذي الفتره الصعبه والحاسمه والمصيبه العاهات ليتها تسترجل بالملعب لاروح اصرار وتلومونه,1
العرض مظريط,0
شفت تغريدتك باول ثانيه غردتي وقتها مالقيت صور ببالي اقدر اسميها احلي صور شفتها بحياتي ماراح شيء شاء الله,0
شكلك فرحان عبدالرحمن اخي انت يهودي ايش ملتك مستحيل مسلم,1
بايع الكليجا عليكم مخفات يارخيصات الله يخلف اهاليكم الوحده لاعاد تفكر لاباهلها ولابربها اهم تتبع غريزتها,1
الخشبيه ليست جديره بهذه الثقه قناه فاشله بكل كادرها وكل شيئ تطور الخشبيه,1
الميلان الموسم قدوم غاتوزو خسر روما خسر انتر خسر السامب خسر لاتسيو ميلان قدوم غاتوزو فوز لاتسيو فوز انتر فوز السامب فوز روما ويستمر الاياب الجحيم,0
الهندي قاعد يثبت للمعز الخروف صديقه يذبحه والله ابمحلك لاخليه حنوون المسكين,0
الدله راسه,0
لعنك اله خبيث مجوسي سفك دماء المسلمين العراق وسوريا واليمن غيركم فرس مجوس,1
بايع الكليجا طيب الحين هالبنات اللي ماعندهن حياء ولاعندهن خوف الله مايفكرن شايب انحي ظهره وشاب راسه عشانهن سمعه اخوانهن,1
يازين الحيا حتي بنات القبايل الاصل والفصل فصخوا الحيا,1
بايع الكليجا عشانا قلنا مزيون خليتونا كفار قريش وبعضكم يستشرف حتي الكبائر ختمها القحاب فالمراقص وينيكهم ويقول لاااااا حرام هذولا محتاااجات وحنا قلنا راينا الزبده وخل نكحل يالاشهب ابي كليجا شكلي بروح بناااااااات متي تسكر الجنادريه,1
حلوه بيضه الدلع مال فرقتك خابت يكونش الحظ اتمنع للخلفدرريازمالك,1
والله تري مااشوف داعي البنات طايحين وتري قسم عيب وقلت حياء اللي جالسه تتغزل وبجماله استحت بالله الكلام تقدرين تقولينه قدام اخوك وابوك كنتي عادي تقدرين وعادي عندهم يسمعونه منك اسمحي اللي عندك ماهم رجال ولاعرفو يربونك بايع الكليجا,1
لعب فهودي تفوزون برا,0
والله فشيله الله يهديهم يكثر امثالهم يفشلون والله والا متي كانوا الخليجيات قليلات والله يضربون فينا الامثال,1
انت عساك تبي النادي القذر الطحلبي ياخذ الدوري,1
العرب جرب,1
محااضره شوووه القصف عاادي خليهم يقصفوو,0
تتعرض لصدمات حياتك تاكد عقلك سيصبح اكبر سنك بكثير,0
للاسف اغلب معنفين الهشتاق الكادر التعليمي معلمين ومعلمات ياخساره التعليم فيكم افضح معنفك,1
المهم نحنا فينيقيين عرب واللاجئين السوريين بيشبهونا,1
الله يقلع البنات مافي وجههن يمال القوم تاخذتس انتي وياها بايع الكليجا,1
حزب المرده حمير وكلاب وخنازير,1
اخرس شيوعي,1
واساسا مهم قطرين فرس اتراك هنود وبكستانيه,1
مبشجعش الدوري السعودي انتو اتحاد ولاد الوسخه بتتغلبو طوب الارض طول الموسم بتنافسو الهبوط جاين تضيعو الصداره النصر لييييه دول غلابه والله بتقتلو متعه الكوره بهاااايم بهاااايم,1
عذرا سوريا جميعنا خونه بمقدورنا فعله الضغط الزر تعبيرا الغضب للعار الغوطه الشرقيه,1
بايع الكليجا يحسسون الواحد انهم كانو يصبحون ويمسون وجيه تشبه الجزم شدعوه اشغلوه بنفسه,0
مبحبش اللبن حاجه لبن,0
الله القلوب تحمل الكثير الردود الله ينجيك يطب فيك عندك دين,0
كفو الملك سلمان ملك الحزم والعزم قفلت القطريين المنفذ وتركتهم ينابحو بحوش قطر الكلاب ويشربو حليب الحمير طرررررق ويبوسو معلم الشاورما عندنا اوردغان ويطبلو للمستخبي بالكهف عبدالملك الحوثي قفل المنفذ خرو صرعي,1
جمييل السعر كلام التقنيين بيكون مبالغ,0
صاحيه النوم فيني محنه منو يطفيها محنه ممحونه كسي مكوه طيز شيميل بنوتي ليز سحاق ديوث دياثه قحبه,0
المرور وساهر تفننوا افقار المواطن نظام مخالفات السؤال اللي يطرح فلوس ساهر تذهب لماذا تصلح الطرق لماذا يرد استفسار اثناء المخالفه,0
لاتنمك ياطحلب تاريخك كله بطولات وانا لاتنمك نواف التمياط حسم عليكم بطولات بطولاتكم علينا,1
مفبرك ياله خير انت مطبل مسكين تكلم ومصدق اعلام مصر والسعوديه وتبي تقنعني سلول داعسينكم دعس فقر وبطاله وظايف سوبرماركت وذل وملكه شبوك وما تعترف وضعكم صاير اسوا لين اسوا,1
اين مهنيتك اصلع عبد المال شكرا لحقدك المدفون تفه مارسال غانم,1
خدلك نصيحه خدلك نصيحه عنا الحلبيه كلون شبيحه,1
افكر يقول حياء المراه وحياءها وهم ثلاثه ارباعهم راحوا المغرب الخ تحبون الحياء رحتوا تدورون بايع الكليجا,1
اثبات عشان ماتزعجوني بالاثبات ويا تاريخ رتويت وانزل صور عمه كلب كلبه ديوث دياثه قحبه مشتهيه,0
ههههههههه,0
اصدقا الوناسه وينهم اخبث الصداقات صداقات البنات عندها استعداد تقلب صاحبتها عشان فستان,1
انشاء الله هتتغلبو زيهم اهلاوي منافق حرامي ابو زنخ,1
زين بالعافيه,0
,0
مطرح يمشي يمشي شكله معدي,0
كسمك كوز اسلامي قذر,1
كلام بالصميم دكتور وللاسف يتبعه اصحاب شهادات ويفترض انهم مثقفون,0
بايع الكليجا صرت استانس تكلم السعوديات كنت ازعل ودي اطعن نفسي كنت نيتي,0
برقر كنج ياناس ضروري مقاطعه الوجبات السريعه والافضل المطاعم لعنبواغيرهم مايخافون الله بعيالنا,1
